method,task,seed,success_rate,mean_steps
GCRL-LTL,(!red U (green & blue & aqua)) & F (orange & (F (red & magenta))),4,0.0,
GCRL-LTL,(!red U (green & blue & aqua)) & F (orange & (F (red & magenta))),5,0.926,76.90712742980561
GCRL-LTL,(((!yellow & !orange) U (green & blue)) & (!green U magenta)),1,0.684,41.119883040935676
GCRL-LTL,(((!yellow & !orange) U (green & blue)) & (!green U magenta)),2,0.752,39.898936170212764
GCRL-LTL,(((!yellow & !orange) U (green & blue)) & (!green U magenta)),3,0.718,41.81058495821727
GCRL-LTL,(((!yellow & !orange) U (green & blue)) & (!green U magenta)),4,0.756,43.11904761904762
GCRL-LTL,(((!yellow & !orange) U (green & blue)) & (!green U magenta)),5,0.716,40.54189944134078
GCRL-LTL,(blue => F magenta) U (yellow | ((green & blue) & F orange)),1,0.716,19.06983240223464
GCRL-LTL,(blue => F magenta) U (yellow | ((green & blue) & F orange)),2,0.694,18.89913544668588
GCRL-LTL,(blue => F magenta) U (yellow | ((green & blue) & F orange)),3,0.538,15.553903345724907
GCRL-LTL,(blue => F magenta) U (yellow | ((green & blue) & F orange)),4,0.662,18.809667673716014
GCRL-LTL,(blue => F magenta) U (yellow | ((green & blue) & F orange)),5,0.568,16.485915492957748
