method,task,seed,success_rate,mean_steps
LTL2Action,!a U (b & (!c U (d & (!e U f)))),1,0.87,22.880459770114943
LTL2Action,!a U (b & (!c U (d & (!e U f)))),2,0.462,30.952380952380953
LTL2Action,!a U (b & (!c U (d & (!e U f)))),3,0.666,32.58258258258258
LTL2Action,!a U (b & (!c U (d & (!e U f)))),4,0.724,32.466850828729285
LTL2Action,!a U (b & (!c U (d & (!e U f)))),5,0.854,25.283372365339577
LTL2Action,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),1,0.51,39.1843137254902
LTL2Action,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),2,0.256,37.046875
LTL2Action,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),3,0.43,32.48372093023256
LTL2Action,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),4,0.838,16.30071599045346
LTL2Action,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),5,0.172,34.19767441860465
